GeneID	WT_na1	WT_na2	11_WT_na_CD8	dKO_na1	12_dKO_na_CD8
ID_794	24	72	62	27	72
ID_795	13	49	51	32	38
ID_796	21	48	33	35	47
ID_797	11	36	26	20	18
ID_798	10	29	21	14	12
ID_799	85	269	250	131	201
ID_800	25	46	42	50	72
ID_801	24	63	38	29	53
ID_802	40	131	126	82	97
ID_803	101	219	232	141	191
ID_804	28	102	74	47	58
ID_805	26	64	60	50	89
ID_806	18	47	40	27	42
ID_807	23	65	68	33	87
ID_808	13	31	17	21	25
ID_809	10	20	23	14	38
ID_810	14	26	23	16	13
ID_811	24	70	58	38	59
ID_812	0	0	0	0	0
ID_813	40	108	92	58	92
ID_814	26	45	54	9	8
ID_815	10	16	29	11	23
ID_816	35	73	73	103	145
ID_817	17	46	44	19	39
ID_818	12	23	24	26	47
ID_819	67	137	128	100	115
ID_820	53	106	78	43	62
ID_821	42	115	99	73	93
ID_822	65	117	135	79	118
ID_823	36	58	74	51	84
ID_824	4	24	26	13	13
ID_825	14	15	25	5	2
ID_826	16	23	26	30	33
ID_827	10	15	21	9	20
ID_828	13	13	20	19	28
ID_829	11	28	29	6	16
ID_830	5	12	14	8	24
ID_831	7	20	16	7	13
ID_832	20	33	63	25	58
ID_833	10	23	15	5	7
ID_834	250	516	606	348	556
ID_835	0	0	0	0	0
ID_836	0	0	0	0	0
ID_837	19	55	59	37	51
ID_838	6	19	15	6	5
ID_839	6	19	21	11	18
ID_840	12	25	15	15	17
ID_841	9	27	22	12	35
ID_842	22	16	34	23	35
ID_843	32	68	60	15	38
ID_844	21	33	56	26	64
ID_845	19	22	26	20	14
ID_846	16	35	40	24	38
ID_847	10	25	31	20	29
ID_848	12	36	23	39	57
ID_849	95	208	192	129	197
ID_850	19	28	33	29	49
ID_851	34	69	69	44	69
ID_852	7	15	25	11	13
ID_853	18	34	17	3	2
ID_854	30	72	89	20	43
ID_855	98	215	216	159	273
ID_856	15	32	30	22	32
ID_857	14	28	22	22	26
ID_858	20	81	78	46	60
ID_859	28	41	72	49	73
ID_860	19	21	29	13	19
ID_861	32	54	52	36	44
ID_862	11	30	49	28	28
ID_863	0	0	0	0	0
ID_864	27	105	94	65	77
ID_865	6	9	9	11	22
ID_866	44	54	77	66	61
ID_867	9	24	25	18	24
ID_868	41	134	92	84	100
ID_869	9	29	33	19	34
ID_870	41	99	75	75	114
ID_871	37	67	92	50	53
ID_872	23	55	45	48	49
ID_873	45	87	62	57	66
ID_874	25	57	63	17	24
ID_875	33	56	63	7	14
ID_876	14	47	36	15	26
ID_877	13	23	38	20	24
ID_878	38	68	73	32	77
ID_879	0	0	0	0	0
ID_880	31	70	73	54	77
ID_881	31	68	82	50	97
ID_882	63	112	112	74	115
ID_883	7	30	19	17	16
ID_884	22	50	50	28	46
ID_885	55	120	119	68	122
ID_886	7	15	13	8	18
ID_887	101	289	246	183	253
ID_888	17	59	52	19	56
ID_889	6	18	23	9	14
ID_890	49	116	91	55	121
ID_891	12	25	26	5	9
ID_892	22	64	47	11	16
ID_893	16	45	45	50	42
ID_894	9	13	14	8	33
ID_895	19	21	34	19	28
ID_896	16	38	55	37	52
ID_897	61	129	129	93	144
ID_898	33	59	63	50	67
ID_899	70	123	119	104	175
ID_900	8	21	22	52	59
ID_901	32	75	55	71	106
ID_902	18	42	26	47	26
ID_903	98	290	239	178	305
ID_904	36	55	53	38	47
ID_905	7	16	41	21	29
ID_906	16	42	53	6	5
ID_907	29	60	93	75	147
ID_908	56	162	102	101	120
ID_909	18	34	39	9	9
ID_910	30	72	48	48	57
ID_911	11	22	23	11	21
ID_912	9	39	25	20	31
ID_913	29	32	30	17	42
ID_914	13	50	35	17	38
