GeneID	logFC	logCPM	F	PValue	FDR
ID_4743	-0.00451115045555653	4.41912384068361	0.000161297997308584	0.989866975160165	1
ID_5211	-0.00432565069318009	4.41626091475155	0.000161195683121423	0.989870189276125	1
ID_11279	-0.0387931702842328	0.805992879114893	0.000160757130805022	0.989883977608312	1
ID_24684	0.00394689196100506	4.71037728553332	0.000160414225117298	0.989894771865794	1
ID_25333	0.00395471478380826	4.68871096623301	0.000159978865546595	0.989908493098673	1
ID_23698	0.00488921097807823	4.05588257769252	0.000156199324056261	0.990028406546144	1
ID_20493	0.00242024019214528	6.18763181189898	0.000155157296711226	0.990061721419178	1
ID_4447	0.00269476124574509	5.82561372765961	0.000152502450430552	0.990147109248974	1
ID_16475	-0.00460992694924231	4.02860493214007	0.000151324346777064	0.990185238615487	1
ID_4015	0.00503737492056031	4.02464180010396	0.000149781064413364	0.990235412317169	1
ID_7564	-0.00354099296716774	5.04527836263052	0.000148162997283429	0.990288295759535	1
ID_10086	-0.0066281379570885	3.3898746241139	0.000147674709651202	0.990304311177762	1
ID_27476	-0.00410364015810029	4.42709219415326	0.000146557727287311	0.990341047119229	1
ID_27290	0.00569690875220308	3.77658485987998	0.000143945725388665	0.990427502491172	1
ID_2507	0.00816599933911929	3.25893559401827	0.00014203886337122	0.990491114720007	1
ID_3186	0.00374813781938669	4.7255608975638	0.000141524158055261	0.990508358185161	1
ID_3865	-0.00462645205468887	4.13808470683993	0.000141440603179643	0.990511160366253	1
ID_26919	-0.0037605022275901	4.77175482342415	0.000140586533494284	0.990539850926669	1
ID_20305	0.00185892317199609	7.07103742991238	0.000139157395646975	0.99058805526498	1
ID_18270	-0.00381660109063796	4.47435189946482	0.000135901299962101	0.990698815408499	1
ID_2969	-0.00364914285028094	4.62943144603168	0.000135253674519557	0.990721006040671	1
ID_20384	0.00431702169390767	3.97373091540786	0.000129803015673855	0.990909886820079	1
ID_12664	0.00290849339821578	5.49926601781428	0.000128998487957856	0.990938142893301	1
ID_17289	-0.00343648572705373	4.76270992713317	0.000128224320034361	0.99096533162555	1
ID_17895	-0.00653446485017708	3.57760541054602	0.000126054381457977	0.991042101369181	1
ID_7448	0.00180278525728016	6.87615179047464	0.000125551156672509	0.99105999902372	1
ID_26789	-0.00199611488654098	6.43245276171612	0.000122761010375343	0.991159890669074	1
ID_5284	-0.00538471662162743	3.67930014181964	0.000122720218137691	0.991161359470313	1
ID_26235	0.00201362306972811	6.36943191097189	0.000121232803841271	0.991215084378016	1
ID_25599	-0.00367697661659336	4.43729016763907	0.000120566456749958	0.991239259489065	1
ID_12213	-0.00280740884113113	5.37576238417944	0.000119206890992727	0.991288802353467	1
ID_2199	-0.00348982567514445	4.73437043031354	0.000117686792163761	0.991344510396695	1
ID_11737	-0.0022198312651804	6.02182421376742	0.000117466579267179	0.991352611850448	1
ID_18089	0.00188265117347175	6.50647450848122	0.000116125967052623	0.991402096603149	1
ID_16850	-0.00174293743414344	6.79226000534383	0.000114783244875191	0.991451946423107	1
ID_20476	0.00216099904680549	6.03604716825605	0.000113908999207615	0.991484560495481	1
ID_22921	0.00293811436388084	5.19072137619249	0.000113748672622978	0.991490555106418	1
ID_3301	0.00499307417335559	3.68648498841054	0.000113477187563833	0.991500715575504	1
ID_3995	-0.00308941620985033	5.03328734777007	0.000112737911026264	0.991528445165249	1
ID_23891	-0.00162426481938407	7.29338932604292	0.000112526564277272	0.991536389290891	1
